名前,かな,緯度,経度,標高
本倶登山,ぽんくとさん,42.95527777777778,140.9125,1009
無意根山,むいねやま,42.93083333333333,141.04055555555556,1464
札幌岳,さっぽろだけ,42.900277777777774,141.20055555555555,1293
空沼岳,そらぬまだけ,42.865,141.2536111111111,1251
恵庭岳,えにわだけ,42.79333333333333,141.28527777777776,1320
風不死岳,ふっぷしだけ,42.716944444444444,141.35888888888888,1102
樽前山,たるまえさん,42.690555555555555,141.37666666666667,1041
ホロホロ山,ほろほろやま,42.63361111111111,141.14249999999998,1322
余別岳,よべつだけ,43.26,140.45916666666665,1298
天狗岳,てんぐだけ,43.18472222222222,140.66083333333333,872
雷電山,らいでんやま,42.90361111111111,140.46972222222223,1211
目国内岳,めくんないだけ,42.89972222222222,140.51527777777778,1220
ニセコアンヌプリ,にせこあんぬぷり,42.875,140.6588888888889,1308
羊蹄山,ようていざん,42.82666666666667,140.8113888888889,1898
尻別岳,しりべつだけ,42.7725,140.9102777777778,1107
貫気別山,ぬっきべつやま,42.71,140.92277777777778,994
昆布岳,こんぶだけ,42.71027777777778,140.65555555555557,1045
昭和新山,しょうわしんざん,42.5425,140.86444444444444,398
有珠山<大有珠>,うすざん<おおうす>,42.54388888888889,140.83916666666667,733
母衣月山,ほろづきやま,42.769999999999996,140.21499999999997,504
大平山,おおびらやま,42.63583333333333,140.13555555555556,1191
狩場山,かりばやま,42.61333333333334,139.94055555555556,1520
毛無山,けなしやま,42.29527777777778,139.81055555555557,816
遊楽部岳,ゆうらっぷだけ,42.219166666666666,140.01055555555556,1277
乙部岳,おとべだけ,42.03944444444444,140.27472222222224,1017
駒ヶ岳<剣ヶ峯>,こまがたけ<けんがみね>,42.06333333333333,140.6772222222222,1131
横津岳,よこつだけ,41.937777777777775,140.7713888888889,1167
恵山,えさん,41.80472222222222,141.16611111111112,618
函館山,はこだてやま,41.75888888888889,140.70416666666665,334
八幡岳,はちまんだけ,41.85194444444445,140.23,665
桂岳,かつらだけ,41.78916666666667,140.46444444444444,734
七ッ岳,ななつだけ,41.62416666666667,140.21416666666664,957
大千軒岳,だいせんげんだけ,41.57944444444445,140.16083333333333,1072
岩部岳,いわべだけ,41.52722222222222,140.31083333333333,794
神威山,かむいやま,42.16027777777778,139.4427777777778,584
江良岳,えらだけ,41.51,139.36722222222224,732
燧岳,ひうちだけ,41.439166666666665,141.05305555555557,781
釜臥山,かまふせやま,41.27861111111111,141.12,878
桑畑山,くわはたやま,41.3875,141.44083333333333,400
吹越烏帽子,ふっこしえぼし,41.0375,141.31722222222223,508
丸屋形岳,まるやがただけ,41.15277777777778,140.58666666666667,718
四ッ滝山,よつだきやま,41.12166666666667,140.40055555555557,670
梵珠山,ぼんじゅさん,40.79972222222222,140.57555555555555,468
階上岳,はしかみだけ,40.40083333333333,141.58444444444444,739
名久井岳,なくいだけ,40.38805555555555,141.30833333333334,615
折爪岳,おりつめだけ,40.26888888888889,141.37444444444446,852
安家森,あっかもり,40.03805555555555,141.54111111111112,1239
